Date,Product,Customer,Sales,Quantity,Region,Category
2024-01-01,Laptop Pro,TechCorp,2500,1,North,Electronics
2024-01-02,Wireless Mouse,StartupXYZ,45,3,South,Electronics
2024-01-03,Mechanical Keyboard,TechCorp,150,1,North,Electronics
2024-01-04,Monitor 4K,Creative Agency,800,2,West,Electronics
2024-01-05,USB Drive,Small Biz,25,5,East,Electronics
2024-01-06,Tablet,Individual User,600,1,South,Electronics
2024-01-07,Smartphone,TechCorp,1200,2,North,Electronics
2024-01-08,Headphones,StartupXYZ,200,4,South,Electronics
2024-01-09,Webcam,Creative Agency,120,3,West,Electronics
2024-01-10,Laptop Pro,Individual User,2500,1,East,Electronics
2024-01-11,Wireless Mouse,TechCorp,45,2,North,Electronics
2024-01-12,Power Bank,Small Biz,80,6,East,Electronics
2024-01-13,Bluetooth Speaker,Individual User,150,1,South,Electronics
2024-01-14,Graphics Card,Creative Agency,1500,1,West,Electronics
2024-01-15,SSD Drive,StartupXYZ,300,2,South,Electronics
2024-01-16,Router,TechCorp,200,1,North,Electronics
2024-01-17,Printer,Small Biz,400,1,East,Electronics
2024-01-18,Scanner,Creative Agency,250,1,West,Electronics
2024-01-19,External HDD,Individual User,180,1,South,Electronics
2024-01-20,Laptop Pro,StartupXYZ,2500,1,South,Electronics
2024-01-21,Wireless Mouse,Individual User,45,1,East,Electronics
2024-01-22,Mechanical Keyboard,Creative Agency,150,2,West,Electronics
2024-01-23,Monitor 4K,TechCorp,800,1,North,Electronics
2024-01-24,USB Drive,StartupXYZ,25,8,South,Electronics
2024-01-25,Tablet,Small Biz,600,2,East,Electronics
2024-01-26,Smartphone,Creative Agency,1200,1,West,Electronics
2024-01-27,Headphones,Individual User,200,2,South,Electronics
2024-01-28,Webcam,TechCorp,120,2,North,Electronics
2024-01-29,Laptop Pro,Small Biz,2500,2,East,Electronics
2024-01-30,Wireless Mouse,Creative Agency,45,5,West,Electronics
2024-02-01,Office Chair,TechCorp,350,4,North,Furniture
2024-02-02,Standing Desk,StartupXYZ,800,1,South,Furniture
2024-02-03,Filing Cabinet,Creative Agency,200,2,West,Furniture
2024-02-04,Bookshelf,Small Biz,150,1,East,Furniture
2024-02-05,Desk Lamp,Individual User,75,3,South,Furniture
2024-02-06,Conference Table,TechCorp,1200,1,North,Furniture
2024-02-07,Ergonomic Cushion,StartupXYZ,50,6,South,Furniture
2024-02-08,Whiteboard,Creative Agency,300,2,West,Furniture
2024-02-09,Storage Cabinet,Small Biz,400,1,East,Furniture
2024-02-10,Office Chair,Individual User,350,2,South,Furniture
2024-02-11,Standing Desk,TechCorp,800,2,North,Furniture
2024-02-12,Filing Cabinet,StartupXYZ,200,1,South,Furniture
2024-02-13,Bookshelf,Creative Agency,150,3,West,Furniture
2024-02-14,Desk Lamp,Small Biz,75,4,East,Furniture
2024-02-15,Conference Table,Individual User,1200,1,South,Furniture
2024-02-16,Ergonomic Cushion,TechCorp,50,8,North,Furniture
2024-02-17,Whiteboard,StartupXYZ,300,1,South,Furniture
2024-02-18,Storage Cabinet,Creative Agency,400,2,West,Furniture
2024-02-19,Office Chair,Small Biz,350,1,East,Furniture
2024-02-20,Standing Desk,Individual User,800,1,South,Furniture
2024-03-01,Coffee Maker,TechCorp,200,2,North,Appliances
2024-03-02,Microwave,StartupXYZ,300,1,South,Appliances
2024-03-03,Refrigerator,Creative Agency,1500,1,West,Appliances
2024-03-04,Blender,Small Biz,120,2,East,Appliances
2024-03-05,Toaster,Individual User,80,3,South,Appliances
2024-03-06,Air Purifier,TechCorp,400,1,North,Appliances
2024-03-07,Vacuum Cleaner,StartupXYZ,250,2,South,Appliances
2024-03-08,Dishwasher,Creative Agency,800,1,West,Appliances
2024-03-09,
